country,indicator,year,value,source_id,retrieved,via
FR,NY.GDP.MKTP.CD,2017,2595151045197.6514,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,NY.GDP.MKTP.CD,2018,2790956878746.6646,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,NY.GDP.MKTP.CD,2019,2728870246705.878,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,NY.GDP.MKTP.CD,2020,2647418691598.4507,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,NY.GDP.MKTP.CD,2021,2959355819170.495,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,NY.GDP.MKTP.CD,2022,2779092236505.847,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
FR,NY.GDP.MKTP.CD,2023,3030904089607.8965,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,NY.GDP.MKTP.CD,2015,3357585719351.5605,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,NY.GDP.MKTP.CD,2016,3469853463945.5337,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,NY.GDP.MKTP.CD,2017,3690849152517.6533,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,NY.GDP.MKTP.CD,2018,3974443355019.605,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,NY.GDP.MKTP.CD,2019,3889177589254.8955,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,NY.GDP.MKTP.CD,2020,3887727161914.4077,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,NY.GDP.MKTP.CD,2021,4278503934689.8535,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,NY.GDP.MKTP.CD,2022,4082469490797.681,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
DE,NY.GDP.MKTP.CD,2023,4456081016705.961,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,NY.GDP.MKTP.CD,2015,1836637711060.546,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
IT,NY.GDP.MKTP.CD,2016,1877071687633.7788,worldbank,2026-09-23,mirror github.com/datasets (seed iniziale)
